-298,5	0,49863
-299,296	0,49863
-300,092	0,49863
-300,888	0,49835
-301,684	0,49835
-302,48	0,49835
-303,276	0,49835
-304,072	0,49835
-304,868	0,49823
-305,664	0,49823
-306,46	0,49823
-307,256	0,49823
-308,052	0,49823
-308,848	0,49823
-309,644	0,49823
-310,44	0,49823
-311,236	0,49823
-312,032	0,49768
-312,828	0,49768
-313,624	0,49768
-314,42	0,49768
-315,216	0,49768
-316,012	0,49768
-316,808	0,49768
-317,604	0,49768
-318,4	0,49637
-319,196	0,49637
-319,992	0,49637
-320,788	0,49637
-321,584	0,49637
-322,38	0,49637
-323,176	-0,05078
-323,972	-0,05077
-324,768	-0,05077
-325,564	-0,05077
-326,36	-0,05077
-327,156	-0,05077
-327,952	-0,05077
-328,748	-0,05077
-329,544	-0,05082
-330,34	-0,05082
-331,136	-0,05082
-331,932	-0,05082
-332,728	-0,05082
-333,524	-0,05082
-334,32	-0,05082
-335,116	-0,05082
-335,912	-0,05082
-336,708	-0,05082
-337,504	-0,05082
-338,3	-0,05082
-339,096	-0,05095
-339,892	-0,05095
-340,688	-0,05095
-341,484	-0,05095
-342,28	-0,05095
-343,076	-0,05095
-343,872	-0,05095
-344,668	-0,05095
-345,464	-0,05111
-346,26	-0,05111
-347,056	-0,05111
-347,852	-0,05111
-348,648	-0,05111
-349,444	-0,05111
-350,24	-0,05111
-351,036	-0,05111
-351,832	-0,05111
-352,628	-0,05111
-353,424	-0,05111
-354,22	-0,05262
-355,016	-0,05262
-355,812	-0,05262
-356,608	-0,35053
-357,404	-0,35053
-358,2	-0,35053
-358,996	-0,35053
-359,792	-0,35053
-360,588	-0,35053
-361,384	-0,35053
-362,18	-0,35057
-362,976	-0,35057
-363,772	-0,35057
-364,568	-0,35057
-365,364	-0,35057
-366,16	-0,35057
-366,956	-0,35057
-367,752	-0,35057
-368,548	-0,35057
-369,344	-0,35057
-370,14	-0,35065
-370,936	-0,35065
-371,732	-0,35067
-372,528	-0,35067
-373,324	-0,35067
-374,12	-0,35067
-374,916	-0,35067
-375,712	-0,35067
-376,508	-0,35067
-377,304	-0,35067
-378,1	-0,35067
-378,896	-0,35067
-379,692	-0,35067
-380,488	-0,35067
-381,284	-0,35067
-382,08	-0,35067
-382,876	-0,35067
