													Vol%	Vol%	Vol%	Vol%
Erntejahr	VN	Standort	Reihe	Spalte	Fruchtfolge	FF-Glied	N-Form	N-Menge	Block	Aufwuchs	Methode	Datum	WAS 0-30 /5-25	WAS 30-60 / 30-50	WAS 60-90 / 60-80	WAS 90-110
2007	112	2	6	3	4	1	4	4	2	4	grav	08.10.2007	0.260509332	0.149826268	0.123700887	.
2007	112	2	6	4	1	1	2	2	2	1	grav	08.10.2007	0.249544928	0.159873117	0.336252189	.
2007	112	2	6	5	1	1	3	4	2	1	grav	08.10.2007	0.260585918	0.123327122	0.138025469	.
2007	112	2	6	6	1	1	4	4	2	1	grav	08.10.2007	0.275067751	0.189595376	0.123953099	.
2007	112	2	7	1	4	1	2	2	2	4	grav	08.10.2007	0.260331218	0.142762548	0.085192114	.
2007	112	2	7	2	1	1	4	2	2	1	grav	08.10.2007	0.256048031	0.117272575	0.064257028	.
2007	112	2	7	3	4	1	1	1	2	4	grav	08.10.2007	0.241473179	0.09581749	0.084785943	.
2007	112	2	7	4	1	1	1	1	2	1	grav	08.10.2007	0.254683841	0.128032516	0.077181699	.
2007	112	2	7	5	4	1	2	3	2	4	grav	08.10.2007	0.257723233	0.111780657	0.067170445	.
2007	112	2	7	6	1	1	1	2	2	1	grav	08.10.2007	0.239317807	0.067542838	0.071915326	.
2007	112	2	8	1	1	1	4	3	2	1	grav	08.10.2007	0.210771524	0.080975457	0.05971686	.
2007	112	2	8	2	1	1	5	4	2	1	grav	08.10.2007	0.2265625	0.117472853	0.091081594	.
2007	112	2	8	3	4	1	3	4	2	4	grav	08.10.2007	0.237833808	0.0826003	0.114220963	.
2007	112	2	8	4	4	1	4	3	2	4	grav	08.10.2007	0.244547299	0.104844061	0.093647116	.
2007	112	2	8	5	4	1	1	2	2	4	grav	08.10.2007	0.268485808	0.110781405	0.08456854	.
2007	112	2	8	6	4	1	1	3	2	4	grav	08.10.2007	0.274208248	0.210763395	0.122943552	.
2007	112	2	9	1	1	1	1	2	3	1	grav	08.10.2007	0.223975823	0.104815382	0.105646139	.
2007	112	2	9	2	4	1	5	4	3	4	grav	08.10.2007	0.228020014	0.091713459	0.082061069	.
2007	112	2	9	3	4	1	1	2	3	4	grav	08.10.2007	0.256145578	0.114957544	0.113037893	.
2007	112	2	9	4	1	1	5	4	3	1	grav	08.10.2007	0.230003375	0.102868447	0.154175589	.
2007	112	2	9	5	4	1	1	1	3	4	grav	08.10.2007	0.267430488	0.161936561	0.098181412	.
2007	112	2	9	6	4	1	4	4	3	4	grav	08.10.2007	0.27174919	0.143097998	0.150262407	.
2007	112	2	10	1	1	1	2	2	3	1	grav	08.10.2007	0.261523046	0.126425856	0.074323242	.
2007	112	2	10	2	1	1	1	3	3	1	grav	08.10.2007	0.253239437	0.12097594	0.069565217	.
2007	112	2	10	3	4	1	1	3	3	4	grav	08.10.2007	0.252838605	0.080449933	0.105303319	.
2007	112	2	10	4	1	1	4	4	3	1	grav	08.10.2007	0.21032967	0.076045627	0.085546248	.
2007	112	2	10	5	4	1	2	4	3	4	grav	08.10.2007	0.283490224	0.126584523	0.111576011	.
2007	112	2	10	6	1	1	2	4	3	1	grav	08.10.2007	0.25529179	0.110194903	0.095522388	.
2007	112	2	11	1	1	1	2	3	3	1	grav	08.10.2007	0.230038354	0.082264957	0.068073519	.
2007	112	2	11	2	1	1	4	2	3	1	grav	08.10.2007	0.229941476	0.067974364	0.072841884	.
2007	112	2	11	3	4	1	3	4	3	4	grav	08.10.2007	0.275740288	0.098510613	0.080274624	.
2007	112	2	11	4	4	1	4	2	3	4	grav	08.10.2007	0.276598603	0.142946708	0.093274755	.
2007	112	2	11	5	1	1	4	3	3	1	grav	08.10.2007	0.267500632	0.189773507	0.093343306	.
2007	112	2	11	6	4	1	4	3	3	4	grav	08.10.2007	0.275658549	0.196776273	0.131303315	.
