39329; 0; 24; 24; 22; 0; 0; 0; 0; 0; 24; 24; 22; 0; 0; 0; 0
39332; 32; 32; 0; 0; 32; 32; 0; 0; 32; 32; 0; 0; 32; 32; 0; 0
39339; 0; 81; 79; 43; 0; 0; 0; 0; 0; 81; 79; 43; 0; 0; 0; 0
39343; 0; 24; 23; 22; 0; 0; 0; 0; 0; 24; 23; 22; 0; 0; 0; 0
39350; 0; 11; 11; 9; 0; 0; 0; 0; 0; 11; 11; 9; 0; 0; 0; 0
39355; 0; 21; 21; 0; 0; 0; 0; 0; 0; 21; 21; 0; 0; 0; 0; 0
39363; 95; 95; 95; 0; 95; 95; 95; 95; 95; 95; 95; 0; 95; 95; 95; 95
39365; 80; 104; 103; 0; 80; 80; 80; 80; 80; 104; 103; 0; 80; 80; 80; 80
39366; 95; 95; 95; 0; 94; 94; 94; 92; 95; 95; 95; 0; 94; 94; 94; 92
39371; 0; 57; 53; 42; 0; 0; 0; 0; 0; 57; 53; 42; 0; 0; 0; 0
39379; 0; 57; 57; 22; 0; 0; 0; 0; 0; 57; 57; 22; 0; 0; 0; 0
39393; 0; 24; 23; 22; 0; 0; 0; 0; 0; 24; 23; 22; 0; 0; 0; 0
39399; 0; 65; 64; 20; 0; 0; 0; 0; 0; 65; 64; 20; 0; 0; 0; 0
39406; 95; 119; 117; 20; 95; 95; 95; 95; 95; 119; 117; 20; 95; 95; 95; 95
39407; 179; 247; 249; 20; 180; 179; 180; 179; 179; 247; 249; 20; 180; 179; 180; 179
39412; 60; 60; 60; 0; 60; 60; 60; 60; 60; 60; 60; 0; 60; 60; 60; 60
39419; 0; 23; 22; 23; 0; 0; 0; 0; 0; 23; 22; 23; 0; 0; 0; 0
39421; 0; 65; 65; 22; 0; 0; 0; 0; 0; 65; 65; 22; 0; 0; 0; 0
39433; 0; 24; 17; 8; 0; 0; 0; 0; 0; 24; 17; 8; 0; 0; 0; 0
39434; 47; 48; 47; 0; 44; 45; 44; 42; 47; 48; 47; 0; 44; 45; 44; 42
39435; 0; 67; 68; 22; 0; 0; 0; 0; 0; 67; 68; 22; 0; 0; 0; 0
39436; 20; 20; 20; 0; 0; 0; 0; 0; 20; 20; 20; 0; 0; 0; 0; 0
39437; 0; 0; 0; 0; 115; 115; 113; 109; 0; 0; 0; 0; 115; 115; 113; 109
39445; 0; 24; 23; 14; 0; 0; 0; 0; 0; 24; 23; 14; 0; 0; 0; 0
39457; 0; 68; 65; 22; 0; 0; 0; 0; 0; 68; 65; 22; 0; 0; 0; 0
39462; 0; 24; 24; 18; 0; 0; 0; 0; 0; 24; 24; 18; 0; 0; 0; 0
39470; 0; 62; 65; 17; 0; 0; 0; 0; 0; 62; 65; 17; 0; 0; 0; 0
39476; 0; 24; 21; 13; 0; 0; 0; 0; 0; 24; 21; 13; 0; 0; 0; 0
39484; 0; 66; 68; 20; 0; 0; 0; 0; 0; 66; 68; 20; 0; 0; 0; 0
39491; 120; 120; 118; 0; 121; 121; 121; 121; 120; 120; 118; 0; 121; 121; 121; 121
39492; 47; 47; 47; 0; 47; 47; 47; 47; 47; 47; 47; 0; 47; 47; 47; 47
39496; 0; 15; 15; 10; 0; 0; 0; 0; 0; 15; 15; 10; 0; 0; 0; 0
39498; 0; 68; 68; 20; 0; 0; 0; 0; 0; 68; 68; 20; 0; 0; 0; 0
39499; 120; 120; 120; 0; 120; 120; 120; 120; 120; 120; 120; 0; 120; 120; 120; 120
39503; 48; 48; 48; 0; 48; 48; 48; 48; 48; 48; 48; 0; 48; 48; 48; 48
39510; 6; 74; 76; 25; 0; 0; 0; 0; 6; 74; 76; 25; 0; 0; 0; 0
39512; 0; 24; 22; 13; 0; 0; 0; 0; 0; 24; 22; 13; 0; 0; 0; 0
39525; 4; 81; 81; 24; 0; 0; 0; 0; 4; 81; 81; 24; 0; 0; 0; 0
39528; 0; 24; 24; 23; 0; 0; 0; 0; 0; 24; 24; 23; 0; 0; 0; 0
39541; 47; 48; 48; 0; 48; 48; 48; 48; 47; 48; 48; 0; 48; 48; 48; 48
39542; 48; 48; 47; 0; 48; 48; 48; 48; 48; 48; 47; 0; 48; 48; 48; 48
39547; 48; 48; 48; 0; 48; 48; 48; 48; 48; 48; 48; 0; 48; 48; 48; 48
39548; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
39556; 48; 48; 47; 0; 48; 48; 48; 48; 48; 48; 47; 0; 48; 48; 48; 48
39567; 4; 48; 48; 26; 0; 0; 0; 0; 4; 48; 48; 26; 0; 0; 0; 0
39574; 8; 46; 46; 8; 0; 0; 0; 0; 8; 46; 46; 8; 0; 0; 0; 0
39582; 12; 68; 70; 12; 0; 0; 0; 0; 12; 68; 70; 12; 0; 0; 0; 0
39588; 64; 64; 0; 0; 64; 64; 0; 0; 64; 64; 0; 0; 64; 64; 0; 0
39589; 0; 24; 24; 22; 0; 0; 0; 0; 0; 24; 24; 22; 0; 0; 0; 0
39597; 23; 69; 70; 19; 0; 0; 0; 0; 23; 69; 70; 19; 0; 0; 0; 0
39604; 24; 70; 70; 20; 0; 0; 0; 0; 24; 70; 70; 20; 0; 0; 0; 0
39608; 0; 24; 22; 23; 0; 0; 0; 0; 0; 24; 22; 23; 0; 0; 0; 0
39616; 0; 24; 24; 24; 0; 0; 0; 0; 0; 24; 24; 24; 0; 0; 0; 0
39617; 22; 67; 67; 21; 0; 0; 0; 0; 22; 67; 67; 21; 0; 0; 0; 0
39618; 63; 63; 0; 0; 64; 64; 0; 0; 63; 63; 0; 0; 64; 64; 0; 0
39631; 0; 10; 11; 0; 0; 0; 0; 0; 0; 10; 11; 0; 0; 0; 0; 0
39638; 15; 24; 24; 24; 0; 0; 0; 0; 15; 24; 24; 24; 0; 0; 0; 0
39639; 21; 59; 59; 20; 0; 0; 0; 0; 21; 59; 59; 20; 0; 0; 0; 0
39645; 19; 19; 19; 0; 19; 19; 19; 19; 19; 19; 19; 0; 19; 19; 19; 19
39646; 28; 28; 28; 0; 28; 28; 28; 28; 28; 28; 28; 0; 28; 28; 28; 28
39650; 4; 11; 11; 12; 0; 0; 0; 0; 4; 11; 11; 12; 0; 0; 0; 0
39651; 64; 64; 0; 0; 64; 64; 0; 0; 64; 64; 0; 0; 64; 64; 0; 0
39652; 21; 54; 58; 20; 0; 0; 0; 0; 21; 54; 58; 20; 0; 0; 0; 0
39659; 4; 12; 12; 4; 0; 0; 0; 0; 4; 12; 12; 4; 0; 0; 0; 0
39664; 14; 22; 24; 24; 0; 0; 0; 0; 14; 22; 24; 24; 0; 0; 0; 0
39667; 65; 94; 94; 16; 48; 48; 48; 48; 65; 94; 94; 16; 48; 48; 48; 48
39678; 16; 24; 24; 24; 0; 0; 0; 0; 16; 24; 24; 24; 0; 0; 0; 0
39680; 27; 56; 56; 14; 0; 0; 0; 0; 27; 56; 56; 14; 0; 0; 0; 0
39681; 62; 62; 0; 0; 62; 61; 0; 0; 62; 62; 0; 0; 62; 61; 0; 0
39692; 8; 12; 12; 12; 0; 0; 0; 0; 8; 12; 12; 12; 0; 0; 0; 0
39694; 28; 56; 56; 15; 0; 0; 0; 0; 28; 56; 56; 15; 0; 0; 0; 0
39699; 8; 12; 12; 12; 0; 0; 0; 0; 8; 12; 12; 12; 0; 0; 0; 0
39706; 16; 24; 24; 24; 0; 0; 0; 0; 16; 24; 24; 24; 0; 0; 0; 0
39708; 41; 68; 68; 16; 0; 0; 0; 0; 41; 68; 68; 16; 0; 0; 0; 0
39709; 64; 64; 0; 0; 64; 64; 0; 0; 64; 64; 0; 0; 64; 64; 0; 0
39716; 16; 24; 24; 24; 0; 0; 0; 0; 16; 24; 24; 24; 0; 0; 0; 0
39723; 83; 114; 113; 16; 47; 47; 47; 47; 83; 114; 113; 16; 47; 47; 47; 47
39726; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
39734; 96; 96; 95; 0; 96; 96; 96; 96; 96; 96; 95; 0; 96; 96; 96; 96
39735; 80; 80; 80; 0; 80; 80; 80; 80; 80; 80; 80; 0; 80; 80; 80; 80
39737; 48; 48; 48; 0; 48; 48; 48; 48; 48; 48; 48; 0; 48; 48; 48; 48
39741; 47; 47; 47; 0; 46; 47; 47; 46; 47; 47; 47; 0; 46; 47; 47; 46
39743; 31; 53; 54; 8; 0; 0; 0; 0; 31; 53; 54; 8; 0; 0; 0; 0
39748; 16; 24; 23; 24; 0; 0; 0; 0; 16; 24; 23; 24; 0; 0; 0; 0
39756; 36; 46; 47; 8; 0; 0; 0; 0; 36; 46; 47; 8; 0; 0; 0; 0
39764; 15; 22; 23; 22; 0; 0; 0; 0; 15; 22; 23; 22; 0; 0; 0; 0
39765; 32; 32; 32; 0; 32; 32; 32; 32; 32; 32; 32; 0; 32; 32; 32; 32
39769; 87; 87; 87; 0; 87; 87; 87; 87; 87; 87; 87; 0; 87; 87; 87; 87
39770; 76; 87; 87; 8; 40; 40; 40; 40; 76; 87; 87; 8; 40; 40; 40; 40
39771; 80; 79; 80; 0; 80; 80; 80; 80; 80; 79; 80; 0; 80; 80; 80; 80
39776; 95; 95; 95; 0; 95; 95; 95; 95; 95; 95; 95; 0; 95; 95; 95; 95
39780; 17; 23; 24; 23; 0; 0; 0; 0; 17; 23; 24; 23; 0; 0; 0; 0
39790; 14; 19; 19; 18; 0; 0; 0; 0; 14; 19; 19; 18; 0; 0; 0; 0
39797; 53; 70; 72; 31; 0; 0; 0; 0; 53; 70; 72; 31; 0; 0; 0; 0
39799; 38; 38; 38; 0; 0; 0; 0; 0; 38; 38; 38; 0; 0; 0; 0; 0
39800; 0; 0; 0; 0; 94; 95; 95; 94; 0; 0; 0; 0; 94; 95; 95; 94
39820; 16; 24; 24; 24; 0; 0; 0; 0; 16; 24; 24; 24; 0; 0; 0; 0
39821; 88; 87; 87; 0; 0; 0; 0; 0; 88; 87; 87; 0; 0; 0; 0; 0
39823; 0; 0; 0; 0; 211; 213; 212; 209; 0; 0; 0; 0; 211; 213; 212; 209
39833; 4; 9; 9; 4; 0; 0; 0; 0; 4; 9; 9; 4; 0; 0; 0; 0
39834; 16; 22; 24; 24; 0; 0; 0; 0; 16; 22; 24; 24; 0; 0; 0; 0
39849; 37; 37; 37; 0; 95; 95; 94; 95; 37; 37; 37; 0; 95; 95; 94; 95
39876; 15; 23; 22; 23; 0; 0; 0; 0; 15; 23; 22; 23; 0; 0; 0; 0
39882; 91; 91; 90; 0; 228; 228; 225; 226; 91; 91; 90; 0; 228; 228; 225; 226
39889; 46; 46; 46; 0; 46; 46; 46; 46; 46; 46; 46; 0; 46; 46; 46; 46
39924; 47; 47; 47; 0; 47; 47; 41; 46; 47; 47; 47; 0; 47; 47; 41; 46
