ClassName;FileName;Parameter;ParamIniVal;SourcecodeVal;
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;bSLA;14.93;14.93;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;critSLNtot;0.8;0.8;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;f1_SLA;-1.1237;-1.1237;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;f2_SLA;0.3;0.3;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;fGAI;0.2;0.2;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;kTransPAR;0.7;0.7;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;maxPLALR;5;5;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;maxSLA;250;250;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;PSENLeaf1;0.0003;0.0003;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;PSENLeaf2;0.0006;0.0006;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerA_Int1;0.2976;0.2976;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerA_Int2;0.2562;0.2562;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerA_Int3;0.2404;0.2404;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerA_S1;0.0087;0.0087;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerA_S2;0.0187;0.0187;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerA_S3;-0.0018;-0.0018;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerM_Int1;0.2916;0.2916;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerM_Int2;0.2694;0.2694;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerM_Int3;0.2504;0.2504;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerM_S1;0.0168;0.0168;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerM_S2;0.0161;0.0161;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;relLayerM_S3;-0.0089;-0.0089;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;TRCrit;0.8;0.8;0
TSimpleRootModDM;Components\Rootgrowth\USimpleRootModDM.pas;zr_0;3;2;1
TSimpleRootModDM;Components\Rootgrowth\USimpleRootModDM.pas;Zrmax;120;160;40
TSimpleRootModDM;;sowingdate;45931;NOT FOUND;#WERT!
TSimpleRootModDM;Components\Rootgrowth\USimpleRootModDM.pas;ActiveDuration;200;200;0
TSimpleRootModDM;Components\Rootgrowth\USimpleRootModDM.pas;BaseTempRoots;0;0;0
TSimpleRootModDM;Components\Rootgrowth\USimpleRootModDM.pas;K_za;0.00394;0.00394;0
TSimpleRootModDM;Components\Rootgrowth\USimpleRootModDM.pas;K_zb;0.107;0.107;0
TSimpleRootModDM;Components\Rootgrowth\USimpleRootModDM.pas;Ratio;0.01731;0.01731;0
TSimpleRootModDM;Components\Rootgrowth\USimpleRootModDM.pas;sp_WL;7000;7000;0
TPenMonteith;Components\Evapotranspiration\UPenMonteith.pas;Elev;293;50;243
TPenMonteith;Components\Evapotranspiration\UPenMonteith.pas;measure_height;10;2;8
TPenMonteith;Components\Evapotranspiration\UPenMonteith.pas;CiThreshold;380;380;0
TPenMonteith;Components\Evapotranspiration\UPenMonteith.pas;exk_GlobRad;0.5;0.5;0
TPenMonteith;Components\Evapotranspiration\UPenMonteith.pas;rc0;50;50;0
TPenMonteith;Components\Evapotranspiration\UPenMonteith.pas;relRc0Inc_CO2;0.3878;0.3878;0
TPenMonteith;Components\Evapotranspiration\UPenMonteith.pas;SIC;0.15;0.15;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;HoriNdx1;1;3;2
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;HoriNdx2;3;6;3
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;HoriNdx3;5;10;5
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;HoriNdx4;10;20;10
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;HoriNdx5;20;20;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;HoriNdx6;20;20;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;PsiStart1;500;500;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;alpha_scaling;1;1;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;alpha1;0.00677;0.00677;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;alpha2;0.00677;0.00677;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;alpha3;0.00677;0.00677;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;alpha4;0.00677;0.00677;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;alpha5;0.00677;0.00677;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;alpha6;0.00677;0.00677;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;Autoirri_nFKcrit;60;60;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_rest1;0.09;0.09;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_rest2;0.09;0.09;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_rest3;0.09;0.09;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_rest4;0.09;0.09;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_rest5;0.09;0.09;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_rest6;0.09;0.09;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_sat1;0.4298;0.4298;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_sat2;0.4298;0.4298;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_sat3;0.4298;0.4298;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_sat4;0.4298;0.4298;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_sat5;0.4298;0.4298;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;b_sat6;0.4298;0.4298;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;bil_nr;18;18;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;bsat_scaling;1;1;0
TSoilNitrogenUp;Components\Soil\USoilNitrogenUp.pas;Cmin;0;0;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;CompFactor;0.5;0.5;0
TSoilNitrogenUp;Components\Soil\USoilNitrogen.pas;Dispersionlength;1;1;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;feddes_a;400;400;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;feddes_b;5;5;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;feddes_c;1;1;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;FK_1;0.35;0.35;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;FK_2;0.35;0.35;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;FK_3;0.35;0.35;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;FK_4;0.35;0.35;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;FK_5;0.35;0.35;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;FK_6;0.35;0.35;0
TSoilNitrogenUp;Components\Soil\USoilNitrogen.pas;Imp_factor;0.5;0.5;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;IrriAmount;10;10;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Itermax;7;7;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Ks_1;50;50;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Ks_2;50;50;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Ks_3;50;50;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Ks_4;50;50;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Ks_5;50;50;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Ks_6;50;50;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;l_par1;0.5;0.5;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;l_par2;0.5;0.5;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;l_par3;0.5;0.5;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;l_par4;0.5;0.5;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;l_par5;0.5;0.5;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;l_par6;0.5;0.5;0
TSoilNitrogenUp;Components\Soil\USoilNitrogen.pas;LeachingEndDay;1000000000;1.00E+09;0
TSoilNitrogenUp;Components\Soil\USoilNitrogen.pas;LeachingStartDay;0;0;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Max_aenderWG;0.001;0.001;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Max_dt;1;1;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Max_IterError;0.0001;0.0001;0
TSoilNitrogenUp;Components\Soil\USoilNitrogenUp.pas;Max_Wl_Nuptake;3.00E-09;3.00E-09;0
TSoilNitrogenUp;Components\Soil\UlayeredSoil.pas;MaxDepth;200;200;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Min_dt;0.0001;0.0001;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;n_par1;1.29494;1.29494;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;n_par2;1.29494;1.29494;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;n_par3;1.29494;1.29494;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;n_par4;1.29494;1.29494;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;n_par5;1.29494;1.29494;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;n_par6;1.29494;1.29494;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;nFK_1;0.25;0.25;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;nFK_2;0.25;0.25;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;nFK_3;0.25;0.25;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;nFK_4;0.25;0.25;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;nFK_5;0.25;0.25;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;nFK_6;0.25;0.25;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;nfk_threshold;0.01;0.01;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;nFKcrit;0.5;0.5;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;nHorizons;4;4;0
TSoilNitrogenUp;Components\Soil\USoilNitrogenUp.pas;Not_av_N;1.5;1.5;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;PondMax;10;10;0
TSoilNitrogenUp;Components\Soil\UlayeredSoil.pas;Potenz_f;1;1;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;psi_2;200;200;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;psi_3;15000;15000;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;psi_critEvap;100;100;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;PWP_1;0.1;0.1;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;PWP_2;0.1;0.1;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;PWP_3;0.1;0.1;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;PWP_4;0.1;0.1;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;PWP_5;0.1;0.1;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;PWP_6;0.1;0.1;0
TSoilNitrogenUp;Components\Soil\URootedSoil.pas;r_root;0.01;0.01;0
TSoilNitrogenUp;Components\Soil\USoilNitrogenUp.pas;RootRad;0.02;0.02;0
TSoilNitrogenUp;Components\Soil\USoilWaterMod.pas;Weff;100;100;0
TSimpleSoilHeat;Components\Soil\USimpleSoilHeat.pas;Dichte;1.5;1.5;0
TSimpleSoilHeat;Components\Soil\USimpleSoilHeat.pas;GPV;0.5;0.5;0
TSimpleSoilHeat;Components\Soil\UlayeredSoil.pas;MaxDepth;200;200;0
TSimpleSoilHeat;Components\Soil\UlayeredSoil.pas;Potenz_f;1;1;0
TSimpleSoilHeat;Components\Soil\USimpleSoilHeat.pas;Tongehalt;0.1;0.1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;HumusContent;0.0224175;0.018;0.0044175
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;ini.BulkDensity;1.3;1.3;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;k_som_biom;0.001;0.001;0
TSoilMinNH;Components\Soil\UAbstractSoilMin.pas;NOrgLayers;3;9;6
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;CN_som;10.08661417;10;0.086614173
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;C_frac_1;0.111111111;0.111111111;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;C_frac_2;0.111111111;0.111111111;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;C_frac_3;0.111111111;0.111111111;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;C_frac_4;0.111111111;0.111111111;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;C_frac_5;0.111111111;0.111111111;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;C_frac_6;0.111111111;0.111111111;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;C_frac_7;0.111111111;0.111111111;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;C_frac_8;0.111111111;0.111111111;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;C_frac_9;0.111111111;0.111111111;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;CN_biom;8;8;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;CN_dpm;6;6;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;CN_iom;10;10;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;CN_rpm;80;80;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;CritDen_f;1.05;1.05;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;E_biom_som;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;E_dpm_biom;0.4;0.4;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;E_rpm_biom;0.4;0.4;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;E_som_biom;0.2;0.2;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;f_biom;0.001;0.001;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;fr_Nloss_nit;0.05;0.05;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;k_biom_som;0.3;0.3;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;k_den;0.1;0.1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;k_dpm_biom;1.34;1.34;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;k_nit;0.5;0.5;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;k_rpm_biom;0.086;0.086;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;k_som_biom_intercept;1;1;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;k_som_biom_slope;0;0;0
TSoilMinNH;Components\Soil\USoilMineralisationNH4.pas;kBBf;0.05;0.05;0
