IniFile;Submodel;EntityType;EntityName;Units;Value;Option;Comment
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Variable;IntPar;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Variable;LUE;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Variable;LUETempf_SWDF;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Variable;LUETempfact;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Variable;SWDF;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Variable;Tempfact;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Variable;TotTMgRate;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Variable;TotTMgRate_TUE;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Variable;Trans_daysGR;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Variable;TUE_vpd;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;alpha_TUE;;10.3;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;beta_TUE;;0.42;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;consLUE;[g/MJ];3.6;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;Ct1;°C;6;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;Ct2;°C;16;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;Ct3;°C;28;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;Ct4;°C;34;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;LUE0;[g/MJ];5.35957;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;LUEexp;[-];-0.0221365;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;LUEmax;;4.9;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;LUEsteig;;-0.13475;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;SWDF_fact;;1.6;NA;Potenzfaktor zur nichtlinearen Beschreibung des Zusammenhangs zwischen TransRatio und SWDF
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Parameter;TRcrit;;1;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;ActTrans;;NA;SoilNitrogenUp1;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;ExtPAR_varLAI;;NA;[subpartitioning_Maize_Roots_N1];
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;GlobRad;[W/m2];NA;Q:\MAIZE\Wetter\V112_TMPM\Wetter_KD_06_09.txt;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;IStage;;NA;[subDevelopment_Maize1];
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;LAI;;NA;[subpartitioning_Maize_Roots_N1];
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;NNI;;NA;subpartitioning_Maize_Roots_N1;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;potTrans;;NA;PenMonteith1;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;Rad_Int;[mbar];NA;Q:\MAIZE\Wetter\V112_TMPM\Wetter_KD_06_09.txt;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;Sat_def;[mbar];NA;Q:\MAIZE\Wetter\V112_TMPM\Wetter_KD_06_09.txt;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;Tbase6;;NA;[subDevelopment_Maize1];
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;TMPM;[Grad;NA;Q:\MAIZE\Wetter\V112_TMPM\Wetter_KD_06_09.txt;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;TransRatio;;NA;SoilNitrogenUp1;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;ExternalValue;XStage;;NA;[subDevelopment_Maize1];
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Option;ContOutput; NA;NA;true;Output every time step?
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Option;DMCalcMethod; NA;NA;linlue_f_rad;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Option;FinalOutput; NA;NA;false;Output of final values in separate file?
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;Option;optDroughtimpact; NA;NA;droughtimpact;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;C_Residues;[gC/m2];0;NA;Amount of carbon in crop residues
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;cumET_latestharvest;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;cumET_Veg;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;DMcob;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;DMfineroot;[g.m-2];0;NA;Total fine root dry matter in crop
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;DMleaf;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;DMShoot;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;DMStem;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;DMtotal;[g.m-2];0;NA;Total aboveground dry matter in crop
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;LAIleaf;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;LAIstem;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subpartitioning_Maize_Roots_N1;State;LeafDuration;;0;NA;
